"ndvi_grain","model_form","a","b","RMSE"
"b","Y = a e(b X)","9.475 ± 3.221","0.901 ± 2.194",616.5
"b","Y = a e(b X)","7.29 ± 2.89","5.616 ± 11.816",630.3
"b","Y = a e(b X)","6.743 ± 2.724","7.459 ± 15.135",634.1
"b","Y = a e(b X)","4.061 ± 1.744","46.041 ± 63.156",637.9
"b","Y = a e(b X)","2.247 ± 2.365","38.918 ± 68.261",87
"b","Y = a e(b X)","1.77 ± 1.963","58.286 ± 81.611",87.1
"b","Y = a e(b X)","0.877 ± 1.777","108.331 ± 139.843",88
"b","Y = a e(b X)","0.288 ± 1.167","164.353 ± 145.315",88.2
"b","Y = a e(b X)","5.974 ± 1.717","0.996 ± 1.281",26.2
"b","Y = a e(b X)","4.924 ± 1.471","2.494 ± 2.648",26.4
"b","Y = a e(b X)","4.694 ± 1.338","2.736 ± 2.704",26
"b","Y = a e(b X)","1.954 ± 0.941","18.845 ± 13.673",28.5
